,item_category_name,date,item_category_id,item_name,item_id,date_block_num,shop_id,item_price,item_cnt_day
0,Игровые консоли - PS3,01.01.2013,5,5,5,5,5,5,5
1,Игровые консоли - PS3,01.01.2014,11,11,11,11,11,11,11
2,Игровые консоли - PS3,01.01.2015,2,2,2,2,2,2,2
3,Игровые консоли - PS3,01.02.2013,9,9,9,9,9,9,9
4,Игровые консоли - PS3,01.02.2014,14,14,14,14,14,14,14
5,Игровые консоли - PS3,01.02.2015,4,4,4,4,4,4,4
6,Игровые консоли - PS3,01.03.2013,8,8,8,8,8,8,8
7,Игровые консоли - PS3,01.03.2014,16,16,16,16,16,16,16
8,Игровые консоли - PS3,01.03.2015,1,1,1,1,1,1,1
9,Игровые консоли - PS3,01.04.2013,4,4,4,4,4,4,4
10,Игровые консоли - PS3,01.04.2014,7,7,7,7,7,7,7
11,Игровые консоли - PS3,01.04.2015,2,2,2,2,2,2,2
12,Игровые консоли - PS3,01.05.2013,8,8,8,8,8,8,8
13,Игровые консоли - PS3,01.05.2014,4,4,4,4,4,4,4
14,Игровые консоли - PS3,01.05.2015,3,3,3,3,3,3,3
15,Игровые консоли - PS3,01.06.2013,13,13,13,13,13,13,13
16,Игровые консоли - PS3,01.06.2014,6,6,6,6,6,6,6
17,Игровые консоли - PS3,01.06.2015,1,1,1,1,1,1,1
18,Игровые консоли - PS3,01.07.2013,8,8,8,8,8,8,8
19,Игровые консоли - PS3,01.07.2014,5,5,5,5,5,5,5
20,Игровые консоли - PS3,01.07.2015,1,1,1,1,1,1,1
21,Игровые консоли - PS3,01.08.2013,6,6,6,6,6,6,6
22,Игровые консоли - PS3,01.08.2014,4,4,4,4,4,4,4
23,Игровые консоли - PS3,01.08.2015,2,2,2,2,2,2,2
24,Игровые консоли - PS3,01.09.2013,4,4,4,4,4,4,4
25,Игровые консоли - PS3,01.09.2014,1,1,1,1,1,1,1
26,Игровые консоли - PS3,01.10.2013,12,12,12,12,12,12,12
27,Игровые консоли - PS3,01.10.2015,1,1,1,1,1,1,1
28,Игровые консоли - PS3,01.11.2013,6,6,6,6,6,6,6
29,Игровые консоли - PS3,01.11.2014,4,4,4,4,4,4,4
30,Игровые консоли - PS3,01.12.2013,10,10,10,10,10,10,10
31,Игровые консоли - PS3,01.12.2014,4,4,4,4,4,4,4
32,Игровые консоли - PS3,02.01.2013,26,26,26,26,26,26,26
33,Игровые консоли - PS3,02.01.2014,34,34,34,34,34,34,34
34,Игровые консоли - PS3,02.01.2015,3,3,3,3,3,3,3
35,Игровые консоли - PS3,02.02.2013,14,14,14,14,14,14,14
36,Игровые консоли - PS3,02.02.2014,12,12,12,12,12,12,12
37,Игровые консоли - PS3,02.02.2015,1,1,1,1,1,1,1
38,Игровые консоли - PS3,02.03.2013,8,8,8,8,8,8,8
39,Игровые консоли - PS3,02.03.2014,11,11,11,11,11,11,11
40,Игровые консоли - PS3,02.03.2015,1,1,1,1,1,1,1
41,Игровые консоли - PS3,02.04.2013,5,5,5,5,5,5,5
42,Игровые консоли - PS3,02.04.2014,4,4,4,4,4,4,4
43,Игровые консоли - PS3,02.04.2015,2,2,2,2,2,2,2
