,item_category_name,date,item_category_id,item_name,item_id,date_block_num,shop_id,item_price,item_cnt_day
0,Игровые консоли - PS4,01.01.2014,4,4,4,4,4,4,4
1,Игровые консоли - PS4,01.01.2015,8,8,8,8,8,8,8
2,Игровые консоли - PS4,01.02.2014,4,4,4,4,4,4,4
3,Игровые консоли - PS4,01.02.2015,7,7,7,7,7,7,7
4,Игровые консоли - PS4,01.03.2014,15,15,15,15,15,15,15
5,Игровые консоли - PS4,01.03.2015,13,13,13,13,13,13,13
6,Игровые консоли - PS4,01.04.2014,11,11,11,11,11,11,11
7,Игровые консоли - PS4,01.04.2015,4,4,4,4,4,4,4
8,Игровые консоли - PS4,01.05.2014,10,10,10,10,10,10,10
9,Игровые консоли - PS4,01.05.2015,3,3,3,3,3,3,3
10,Игровые консоли - PS4,01.06.2014,6,6,6,6,6,6,6
11,Игровые консоли - PS4,01.06.2015,8,8,8,8,8,8,8
12,Игровые консоли - PS4,01.07.2014,4,4,4,4,4,4,4
13,Игровые консоли - PS4,01.07.2015,2,2,2,2,2,2,2
14,Игровые консоли - PS4,01.08.2014,13,13,13,13,13,13,13
15,Игровые консоли - PS4,01.08.2015,1,1,1,1,1,1,1
16,Игровые консоли - PS4,01.09.2014,7,7,7,7,7,7,7
17,Игровые консоли - PS4,01.09.2015,5,5,5,5,5,5,5
18,Игровые консоли - PS4,01.10.2014,19,19,19,19,19,19,19
19,Игровые консоли - PS4,01.10.2015,7,7,7,7,7,7,7
20,Игровые консоли - PS4,01.11.2014,17,17,17,17,17,17,17
21,Игровые консоли - PS4,01.12.2013,31,31,31,31,31,31,31
22,Игровые консоли - PS4,01.12.2014,17,17,17,17,17,17,17
23,Игровые консоли - PS4,02.01.2014,10,10,10,10,10,10,10
24,Игровые консоли - PS4,02.01.2015,33,33,33,33,33,33,33
25,Игровые консоли - PS4,02.02.2014,3,3,3,3,3,3,3
26,Игровые консоли - PS4,02.02.2015,2,2,2,2,2,2,2
27,Игровые консоли - PS4,02.03.2014,16,16,16,16,16,16,16
28,Игровые консоли - PS4,02.03.2015,3,3,3,3,3,3,3
29,Игровые консоли - PS4,02.04.2014,14,14,14,14,14,14,14
30,Игровые консоли - PS4,02.04.2015,5,5,5,5,5,5,5
31,Игровые консоли - PS4,02.05.2014,7,7,7,7,7,7,7
32,Игровые консоли - PS4,02.05.2015,3,3,3,3,3,3,3
33,Игровые консоли - PS4,02.06.2014,5,5,5,5,5,5,5
34,Игровые консоли - PS4,02.06.2015,5,5,5,5,5,5,5
35,Игровые консоли - PS4,02.07.2014,8,8,8,8,8,8,8
36,Игровые консоли - PS4,02.07.2015,1,1,1,1,1,1,1
37,Игровые консоли - PS4,02.08.2014,25,25,25,25,25,25,25
38,Игровые консоли - PS4,02.09.2014,8,8,8,8,8,8,8
39,Игровые консоли - PS4,02.09.2015,2,2,2,2,2,2,2
40,Игровые консоли - PS4,02.10.2014,16,16,16,16,16,16,16
41,Игровые консоли - PS4,02.10.2015,9,9,9,9,9,9,9
42,Игровые консоли - PS4,02.11.2014,16,16,16,16,16,16,16
43,Игровые консоли - PS4,02.12.2013,22,22,22,22,22,22,22
44,Игровые консоли - PS4,02.12.2014,12,12,12,12,12,12,12
